state_abbr,year,robbery rate
AK,1995,155.13245033112582
AK,1996,116.9686985172982
AK,1997,106.4039408866995
AK,1998,86.64495114006515
AK,1999,91.36400322841001
AK,2000,78.15839676392336
AK,2001,81.11989646954848
AK,2002,76.22973053024091
AK,2003,68.79743320787314
AK,2004,67.9584343714605
AK,2005,80.96457912742197
AK,2006,89.54515538323088
AK,2007,85.00639376834367
AK,2008,93.98318211026486
AK,2009,93.63282474769963
AK,2010,83.17626927827082
AK,2011,79.57339817091703
AK,2012,86.26509125614297
AK,2013,84.50218986814674
AK,2014,85.34067073154186
AK,2015,103.15720697456585
AK,2016,114.57162343946709
AL,1995,185.7512344227604
AL,1996,166.721273110227
AL,1997,160.47696225978237
AL,1998,130.92830882352942
AL,1999,121.21664253928385
AL,2000,128.2183895122664
AL,2001,124.95211362407673
AL,2002,133.11316002872135
AL,2003,134.06677049181056
AL,2004,133.51379719912714
AL,2005,141.74442602741624
AL,2006,153.55411902075002
AL,2007,159.85821496845944
AL,2008,157.57523756408332
AL,2009,133.05135931130152
AL,2010,101.6424746849846
AL,2011,102.12984229412021
AL,2012,104.2028193712626
AL,2013,96.09027396795528
AL,2014,97.02024859220566
AL,2015,95.01686796631557
AL,2016,96.3543273086176
AR,1995,125.68438003220612
AR,1996,114.10358565737052
AR,1997,111.53388822829965
AR,1998,96.21749408983452
AR,1999,79.32983534747761
AR,2000,74.84850751851575
AR,2001,80.93671350184697
AR,2002,93.26496858404268
AR,2003,81.64166092938784
AR,2004,86.25454545454545
AR,2005,91.21996982391519
AR,2006,97.79883253310716
AR,2007,109.53165253102779
AR,2008,97.25466573742992
AR,2009,89.15191472425548
AR,2010,81.08603951001989
AR,2011,80.2087537458543
AR,2012,78.30965059657716
AR,2013,76.417018587147
AR,2014,68.65902552720323
AR,2015,71.09148772622423
AR,2016,70.94458023564309
AZ,1995,173.75533428165008
AZ,1996,167.77326106594398
AZ,1997,165.68605927552142
AZ,1998,165.23880916684516
AZ,1999,152.52184235000834
AZ,2000,146.2587844928266
AZ,2001,167.1011270846657
AZ,2002,147.02841783638493
AZ,2003,136.56025876009235
AZ,2004,134.5150307175465
AZ,2005,144.11204287177893
AZ,2006,153.9168106477804
AZ,2007,154.03655765209413
AZ,2008,150.90351344116624
AZ,2009,124.30679140504729
AZ,2010,108.41772493364424
AZ,2011,110.47861438634116
AZ,2012,112.69778782317422
AZ,2013,100.31654874900471
AZ,2014,92.51301461200339
AZ,2015,93.28843949415958
AZ,2016,101.78802092779024
CA,1995,331.16274652568933
CA,1996,295.57061296191733
CA,1997,252.4730383042023
CA,1998,210.55499433679248
CA,1999,181.13978223220244
CA,2000,177.87442760387685
CA,2001,186.74316583567105
CA,2002,185.61232496921747
CA,2003,179.82268248406947
CA,2004,172.33395042993928
CA,2005,175.97428035019053
CA,2006,195.13654085742297
CA,2007,193.43305369992763
CA,2008,188.77664258232778
CA,2009,173.40398960393125
CA,2010,155.6475757078582
CA,2011,144.06935709178762
CA,2012,148.7399512177381
CA,2013,139.57339511476985
CA,2014,125.49142818092389
CA,2015,135.56465440527427
CA,2016,139.58974845794333
CO,1995,96.18361355751267
CO,1996,98.22129217891708
CO,1997,83.27767788338042
CO,1998,81.54117350793251
CO,1999,75.34269709597787
CO,2000,70.53745401639193
